156,333.89,335.87,330.81,665.71
157,332.51,336.06,332.29,671.03
158,335.8,337.36,334.6,675.29
159,336.49,338.17,335.07,673.69
160,335.3,337.73,329.85,667.68
161,332.44,339.03,332.11,675.33
162,335.88,338.97,334.25,674.95
163,336.54,338.95,335.78,676.77
164,330.26,334.75,328.39,667.39
165,331.26,337.54,331.13,675.4
166,337.42,343.21,336.81,686.13
167,340.84,342.41,338.82,679.81
168,340.72,343,338.75,683.21
169,341,341.22,335.49,679.18
170,338.73,341.97,338.3,678.86
171,341.7,348.64,341.09,697.49
172,348.69,354.8,347.53,704.22
173,353.55,355.07,347.89,698.85
174,347.68,349.02,344.21,690.29
175,343.42,346.16,339.17,688.99
176,345.25,353.18,343.98,704.11
177,353.48,355.17,352.18,707.74
178,352.73,355.11,351.18,708.04
179,352.57,357.99,352.07,716.31
180,357.41,362.92,356.87,725.51
181,360.88,364.32,359.26,726.13
182,364.74,366.09,363.7,731.98
183,364.14,373.62,363.76,747.33
184,375.12,381.02,372.43,747.11
185,373.52,379.2,369.12,751.4
186,378.56,380,374.42,754.43
187,375.67,378.23,374.17,752.43
188,378.11,381.07,376.69,759.69
189,381.17,381.56,373.73,754.92
190,376.45,380.53,374.7,760.41
191,379.95,383.51,378.28,765.95
192,383.92,385.74,381.08,765.55
193,379.08,380.36,375.67,755.77
194,378.42,379.24,369.88,742.05
195,369.54,372.37,367.77,742.52
196,375.04,377.83,373.74,749.42
197,374.52,376.03,370.66,742.71
198,369.58,370.53,363.99,738.95
199,368.68,372.1,366.85,742.66
200,370.59,376.76,368.75,753.42
201,376.36,378.29,336.74,693.1
202,351.47,352.03,334.75,679.92
203,339.23,341.04,333.6,676.81
204,334.75,342.38,334.75,678.49
205,342.12,342.22,336.37,675.45
206,338.73,339.73,335.5,675.9
207,336.99,340.24,334.35,673.3
208,338.66,339.23,336.24,678.44
209,338.48,344.16,338.09,685.71
210,346.1,346.48,342.4,686.04
211,340.97,342.15,336.52,681.09
212,341.46,341.97,337.51,679.85
213,336.24,337.85,332,665.29
214,333.85,334.49,324.4,650.5
215,326.1,332.92,323.94,661.21
216,330.64,333.65,329.2,664.08
217,330.26,332.55,327.89,657.25
218,329.1,329.85,324.04,650.76
219,323.79,328.77,320.75,645.49
220,321.79,325.29,316.81,645.41
221,326.63,333.21,326.54,666.38
222,333.5,337.73,331.04,668.14
223,333.25,333.65,328.97,664.05
224,333.73,333.75,331.81,666.14
225,331.98,332.25,328.28,659.34
226,328.85,336.24,327.77,668.87
227,332.76,341.18,330.71,681.8
228,342.61,345.65,339.73,690
229,344.36,348.3,341.56,696.46
230,349.81,351.63,345.76,693.35
231,346.2,346.46,341.57,689.14
232,344.78,345.95,339.89,685.94
233,342.51,346.51,340.98,689.24
234,346.2,347.14,339.94,682.34
235,341.42,344.53,340.62,683.54
236,343.71,349.65,342.58,694.97
237,348.31,350.44,345.45,695.65
238,356.62,356.9,348.47,700.78
239,348.28,352.59,347.91,700.04
240,351.43,359.61,350.7,718.81
241,356.96,363.19,356.19,719.1
242,359.01,360.15,357,718.14
243,360.28,360.97,357.15,720.38
244,355.65,358.07,353.93,713.67
245,355.92,356.25,352.41,707.56
246,352.71,355.11,349.89,706.93
247,352.25,353.1,348,704.36
248,349.53,352.14,348.7,698.09
249,348.69,353.96,346.7,705.44
250,358.37,362.14,356.94,721.27
251,361.11,364.6,359.01,721.69
252,363.31,369.35,362.48,735.95
253,366.35,368.31,363.93,732.74
254,366.4,366.78,360.86,731.29
255,364.77,367.8,362.94,736.1
256,370.03,371.11,365.38,739.45
257,369.61,369.83,366.78,737.96
258,367.12,369.71,359.83,721.27
259,358.32,366.13,354.72,722.95
260,359.85,360.82,355.5,713.23
261,357.51,358.48,354.18,709.37
262,353.85,355.05,349.36,702.58
263,351.01,351.35,346.46,700.95
264,366.62,373.1,366.52,739.47
265,369.24,377,368.87,752.15
266,373.98,377.82,373.72,751.61
267,374.48,376.39,372.55,748.67
268,371.98,377.06,371.88,751.62
269,375.46,379.05,375.05,751.77
270,373.85,377.4,373.72,753.62
271,377.68,386.85,377.63,773.48
272,382.41,383.8,377.72,756.94
273,379.14,384.12,378.32,763.64
274,378.12,385.04,377.83,768.06
275,383.41,387.95,381.32,771.83
276,388.61,391.87,388.32,783.22
277,387.75,390.04,385.43,780.28
278,389.42,392.48,388.23,778.56
279,388.61,391.21,388.53,780.72
280,388.41,392.9,387.43,785.66
281,392.23,395.15,392.07,790.72
282,396.51,401.99,396.16,804.64
283,401.15,402.97,394.42,790.29
284,397.51,401.22,394.13,793.35
285,398.14,399.13,395.42,797.52
286,399.65,402.7,393.77,788.6
287,396.02,396.49,390.74,787.97
288,395.92,400.87,394.08,797.59
289,399.05,401.99,399.02,799.01
290,397.41,402.06,396.59,803.98
291,401.15,409.88,401,819.25
292,412.92,418.51,412.9,836.3
293,418.94,420.42,412.86,829.1
294,415.47,416.75,413.24,830.32
295,415.69,415.9,410.98,829.24
296,414.29,418.28,414.2,832.53
297,413.8,414.39,410.3,825.34
298,412.4,413.79,409.62,823.05
299,411.95,411.95,407.17,819.29
300,407.72,408.62,405.15,812.07
301,401,404.86,399.24,805.58
302,404.11,408.1,401.72,809.1
303,406.89,407.23,404.2,812.48
304,404.13,406.93,403.41,809.04
305,405.85,406.1,403.31,808.09
306,404.69,408.09,401.9,807.42
307,405.23,405.48,402.39,810.2
308,401.83,401.99,399.17,800.46
309,400.49,401.18,395.17,792.02
310,396.02,399.63,395.14,799
